,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Cathegory
0,0,0,0,0,Adaptar,52.083333333333336,46.083333333333336,34.5,42.91666666666666,48.583333333333336,49.583333333333336,52.5,50.91666666666666,53.833333333333336,57.833333333333336,61.0,66.75,65.41666666666667,67.08333333333333,67.0,66.58333333333333,77.83333333333333,72.33333333333333,Antidepressants
1,1,1,1,1,doxepin,0.0,23.0,11.916666666666666,8.0,2.4166666666666665,5.5,2.333333333333333,1.25,1.5,2.5,0.9166666666666666,1.1666666666666667,1.0833333333333333,0.6666666666666666,0.75,1.9166666666666667,0.9166666666666666,1.25,Antidepressants
2,2,2,2,2,Anafranil,31.666666666666668,14.666666666666666,22.916666666666668,12.416666666666666,17.25,15.5,11.166666666666666,11.166666666666666,10.666666666666666,9.583333333333334,9.166666666666666,8.916666666666666,9.083333333333334,9.916666666666666,10.5,13.333333333333334,11.916666666666666,9.666666666666666,Antidepressants
3,3,3,3,3,clomipramina,15.083333333333334,10.5,9.583333333333334,9.583333333333334,11.666666666666666,11.666666666666666,11.25,8.5,8.916666666666666,9.416666666666666,9.166666666666666,9.583333333333334,9.75,11.916666666666666,14.25,16.333333333333332,14.75,15.5,Antidepressants
4,4,4,4,4,bupropiona,19.08333333333333,15.75,25.416666666666668,19.75,26.33333333333333,23.08333333333333,24.08333333333333,26.916666666666668,40.0,38.0,39.75,41.91666666666666,39.833333333333336,47.16666666666666,53.333333333333336,60.25,58.91666666666666,64.08333333333333,Antidepressants
5,5,5,5,5,Rexulti,0.0,8.333333333333334,4.916666666666667,8.916666666666666,5.916666666666667,14.333333333333334,2.0,1.5,2.5,2.5,2.0,0.4166666666666667,1.9166666666666667,1.1666666666666667,2.583333333333333,1.9166666666666667,19.25,72.66666666666667,Antidepressants
6,6,6,6,6,Celexa,8.333333333333334,4.666666666666667,3.5,2.0,2.4166666666666665,0.3333333333333333,0.5833333333333334,0.5833333333333334,1.25,0.5,0.5833333333333334,1.1666666666666667,0.25,0.75,0.5,1.0,0.5833333333333334,0.3333333333333333,Antidepressants
7,7,7,7,7,Cymbalta,9.0,39.41666666666666,17.25,19.75,17.0,16.583333333333332,19.58333333333333,22.83333333333333,24.33333333333333,24.33333333333333,20.0,19.75,13.75,16.166666666666668,15.916666666666666,15.75,12.416666666666666,12.416666666666666,Antidepressants
8,8,8,8,8,duloxetina,10.75,10.5,6.083333333333333,3.333333333333333,4.666666666666667,6.0,4.916666666666667,3.8333333333333335,4.583333333333333,7.583333333333333,13.166666666666666,18.666666666666668,21.75,31.416666666666668,43.91666666666666,54.583333333333336,57.91666666666666,67.41666666666667,Antidepressants
9,9,9,9,9,desyrel,14.75,7.75,4.75,1.25,0.0,0.9166666666666666,1.9166666666666667,0.9166666666666666,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.5,Antidepressants
